Tuning,Best_params,Inertia,Silhouette_Score
SMBO,"{'algorithm': 'lloyd', 'init': 'k-means++', 'max_iter': 319, 'n_clusters': 2, 'n_init': 9, 'tol': 0.1}",5989.735240178855,0.43220293648047825
RandomizedSearchCV,"{'tol': 0.1, 'n_init': 5, 'n_clusters': 3, 'max_iter': 200, 'init': 'k-means++', 'algorithm': 'elkan'}",3521.054583387378,0.4529741764177548
GridSeachCV,"{'algorithm': 'lloyd', 'init': 'k-means++', 'max_iter': 100, 'n_clusters': 3, 'n_init': 10, 'tol': 0.0001}",3517.1919694514713,0.4526652931153385
